OBJECTID,Shape_Length,Shape_Area,F_AREA,longitude,latitude
279,80903.902530963082000,355898616.275264500000000,355898616.275264980000000,-96.565152311860729,26.872464140445722
280,104406.998351054880000,678954126.035467390000000,678954126.035467030000000,-84.504802594698944,28.372485859823435
281,104075.050047654980000,674195954.582944150000000,674195954.582944040000000,-92.254802594399251,29.122485860055168
282,104838.072325632700000,685117778.895066260000000,685117778.895066020000000,-84.254802594390668,27.372485859877546
283,62886.204590090638000,168934695.413170930000000,168934695.413170990000000,-90.514484319545062,29.030082607956114
284,14138.427967604239000,8672118.837371746100000,8672118.837371749800000,-96.893500271418915,28.010396796492270
285,104731.525310658310000,683596287.470629930000000,683596287.470630050000000,-83.004802594830878,27.622485860238719
286,104731.525010809350000,683596283.521249770000000,683596283.521250010000000,-96.754802594604200,27.622485860242559
287,2287.434099909583000,203896.101954769520000,203896.101954770010000,-81.378017793228224,25.749771826991939
288,104297.179501463310000,677380925.448210720000000,677380925.448210950000000,-94.254802594492617,28.622485859814656
289,104297.179530337630000,677380926.015474080000000,677380926.015473960000000,-92.504802594614588,28.622485860169284
290,103749.819164948700000,671019339.255091190000000,671019339.255090950000000,-94.004796799144003,28.124246550828627
291,104186.531542892160000,675794859.113147260000000,675794859.113147020000000,-90.754802594628671,28.872485860270864
292,104624.166678866080000,682061829.575004700000000,682061829.575005050000000,-96.004802594387513,27.872485859956498
293,78547.086932746417000,326770650.852694870000000,326770650.852694990000000,-84.439808391884753,27.123429404934118
294,79497.605044371419000,337172826.929494380000000,337172826.929494020000000,-83.940789781885385,26.372532107139197
295,103996.677716841570000,674114893.300134180000000,674114893.300133940000000,-92.504802943534983,28.123660030659938
296,104624.166669357230000,682061829.450362680000000,682061829.450363040000000,-96.504802594632181,27.872485860037038
297,103994.848842298130000,674192456.352840070000000,674192456.352839950000000,-92.004802943616070,28.123664178230165
298,79471.516654853534000,337133315.242239240000000,337133315.242239000000000,-83.940654398268435,26.122532209949330
299,73257.142789059697000,270055788.721790910000000,270055788.721791030000000,-94.234434506839420,29.551794860043184
300,103962.729995154600000,672584232.611869220000000,672584232.611868980000000,-94.254802594640324,29.372485860100703
301,70643.652101725078000,216447996.244576450000000,216447996.244576010000000,-90.235772508993250,29.040473030933203
302,97117.055125842351000,571419237.694148060000000,571419237.694147940000000,-88.507777415488675,30.104686784831181
303,104186.531625320740000,675794860.180639980000000,675794860.180639980000000,-85.254802594698603,28.872485860105670
304,105661.735194251410000,696820217.320129990000000,696820217.320129990000000,-83.754802594678196,25.372485860064053
305,78225.040306306633000,323824826.691424670000000,323824826.691425030000000,-92.771300916504600,29.560973975138499
306,50793.654493159935000,47920305.161908843000000,47920305.161908798000000,-93.245547777768891,29.758303701634524
307,106084.231600555200000,669173330.428126100000000,669173330.428125980000000,-85.504349904845625,29.123429818585450
308,90981.106099048542000,403026354.288465260000000,403026354.288465020000000,-83.294761362471959,29.349167309681700
309,104731.525183977760000,683596285.846684460000000,683596285.846683980000000,-84.004802594573562,27.622485860069098
310,104624.166752480930000,682061830.582543370000000,682061830.582543020000000,-83.004802594453835,27.872485860294095
311,104406.998328577090000,678954125.845119000000000,678954125.845119000000000,-84.254802594701033,28.372485859825396
312,102900.349767078650000,386442969.832889740000000,386442969.832889970000000,-91.031801848186944,29.084729458262199
313,105859.819196611120000,699614573.627749800000000,699614573.627750040000000,-81.254802594304607,24.872485860119532
314,105460.548877871120000,693973177.363724950000000,693973177.363724950000000,-82.754802594437777,25.872485860178415
315,105048.749062883430000,688121775.262073990000000,688121775.262073990000000,-83.004802594502124,26.872485860007522
316,104624.166736871890000,682061830.482579230000000,682061830.482578990000000,-83.504802594731572,27.872485860068970
317,108851.885669142910000,552590170.438080670000000,552590170.438081030000000,-81.772742607204606,25.854960905910264
318,98332.007643587291000,527708464.041962560000000,527708464.041962980000000,-88.728801230324265,29.868945174069523
319,104515.992560262150000,680514435.148626690000000,680514435.148627040000000,-95.754802594612400,28.122485860022625
320,102523.914538612600000,668835343.007428650000000,668835343.007429000000000,-82.258188686818841,26.369000350117467
321,104297.179386474280000,677380923.968973400000000,677380923.968973040000000,-83.504802594420966,28.622485860139655
